Gender,Position,Employment status,Total_Salary
Male,Backend Developer,Full-time employee,65600
Male,Backend Developer,Full-time employee,80000
Female,Backend Developer,Full-time employee,65000
Male,Backend Developer,Full-time employee,69000
Male,Backend Developer,Full-time employee,184500
Male,Backend Developer,Full-time employee,43000
Female,Backend Developer,Full-time employee,55000
Male,Backend Developer,Full-time employee,55000
Male,Backend Developer,Full-time employee,66000
Male,Backend Developer,Full-time employee,85000
Male,Backend Developer,Full-time employee,70000
Male,Backend Developer,Self-employed (freelancer),135000
Female,Backend Developer,Full-time employee,45000
Male,Backend Developer,Full-time employee,70000
Male,Backend Developer,Full-time employee,70000
Male,Backend Developer,Full-time employee,56000
Male,Backend Developer,Full-time employee,67473
Male,Backend Developer,Full-time employee,137000
Male,Backend Developer,Full-time employee,120000
Male,Backend Developer,Full-time employee,26000
Male,Backend Developer,Full-time employee,141000
Female,Backend Developer,Full-time employee,95600
Male,Backend Developer,Full-time employee,196000
Male,Backend Developer,Full-time employee,272000
Male,Backend Developer,Full-time employee,83000
Male,Backend Developer,Full-time employee,85000
Male,Backend Developer,Self-employed (freelancer),10001
Female,Backend Developer,Full-time employee,140000
Male,Backend Developer,Full-time employee,107000
Male,Backend Developer,Full-time employee,66400
Male,Backend Developer,Full-time employee,240000
Male,Backend Developer,Full-time employee,58000
Male,Backend Developer,Full-time employee,70000
Male,Backend Developer,Full-time employee,220000
Male,Backend Developer,Full-time employee,55000
Male,Backend Developer,Full-time employee,70000
Male,Backend Developer,Full-time employee,50000
Female,Backend Developer,Full-time employee,65000
Male,Backend Developer,Full-time employee,68000
Male,Backend Developer,Full-time employee,77000
Male,Backend Developer,Full-time employee,110000
Female,Backend Developer,Full-time employee,18750
Male,Backend Developer,Full-time employee,85000
Male,Backend Developer,Full-time employee,175000
Male,Backend Developer,Full-time employee,82500
Male,Backend Developer,Full-time employee,115000
Male,Backend Developer,Full-time employee,65000
Male,Backend Developer,Full-time employee,50000
Male,Backend Developer,Full-time employee,75000
Male,Backend Developer,Full-time employee,130000
Male,Backend Developer,Full-time employee,170000
Male,Backend Developer,Full-time employee,142000
